mouse_intraperitoneal_LD50_(?log(mol/kg))_(?log(mol/kg)),canonical_smiles
2.617214678,CCN(CC)CCOC(=O)COc1ccc(Cl)cc1
4.744594705,CC(CCCN(CCCl)CCCl)Nc1ccnc2cc(Cl)ccc12
3.005271785,CN(C)CCCN1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21
1.792635265,CCC=CCC(=O)O
2.000698652,CCCCCCCCCCCCCCCC(=O)OCCO
3.471852801,Cc1ccc(C=CC(=O)c2ccccc2)cc1
2.30596828,ClCCc1cccnc1
2.497853807,ClCCc1ccccn1
4.008644451,FC(F)(F)c1nc2cc(Cl)cc(Cl)c2[nH]1
4.008644451,FC(F)(F)c1nc2c(Cl)ccc(Cl)c2[nH]1
2.881376096,NNCCOc1ccccc1
3.470389908,CN(C)CCCN1C(=O)c2ccccc2Nc2ccccc21
3.208763733,CCN(CC)CCCN1C(=O)c2ccccc2Nc2ccccc21
2.480090822,CCNCC(O)c1ccc(O)cc1
2.813496479,CCCNCC(O)c1ccc(O)cc1
2.807467863,CN(C)S(=O)(=O)c1ccc(CNCCNCc2ccc(S(=O)(=O)N(C)C)cc2)cc1
3.229801788,Nc1ncnc2c1ncn2C1CCCCC1
2.821954991,Cc1c2ccncc2cc2c1[nH]c1ccccc12
3.784111846,CC(=O)Oc1ccc(CC(C(=O)OC2CC3CCC(C2)N3C)c2ccccc2)cc1
2.874022057,O=C(NN=CC(O)C(O)C(O)C(O)CO)c1ccccn1
3.245163541,O=P1(c2ccccc2)OCc2ccccc2O1
2.956350618,S=P1(c2ccccc2)OCc2ccccc2O1
3.378667518,O=C(Cc1ccc([N+](=O)[O-])cc1)OCCF
3.412110955,O=C(OCCF)C(c1ccccc1)c1ccccc1
3.547897718,O=C(C=Cc1ccccc1)OCCF
3.397367384,COc1ccc(CC(=O)OCCF)cc1
3.278829078,O=c1c2ccccc2[nH]c(=S)n1CCCCCN1CCN(c2ccccc2)CC1
2.173652375,CCCS(=O)CCC
3.141105113,CCCCCCCCC1C(=O)NC(=O)N(C2CCCCC2)C1=O
2.124336278,C=CCc1c(O)n(C2CCC(O)CC2)c(=O)[nH]c1=O
2.500228239,CCC12COC(C)(OC1)OC2
2.571128609,CCCC12COC(CC)(OC1)OC2
2.669884883,COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(c(CN5CCCCC5)c(O)c4c3C2=O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C
2.755275339,CCCCNC(=O)OCC(C)(CCC)COC(N)=O
3.868424003,C[N+]1(CCN(c2ccccc2)c2ccccc2)CCCCC1
3.899500839,C[N+]1(CCN(c2ccccc2)C2CCCCC2)CCCCC1
3.399864453,C[N+]1(CCN(C2CCCCC2)C2CCCCC2)CCCCC1
3.460183951,CCCCCCCCCCSC(=N)N
2.993858844,CCC(NNC(C)=O)c1ccccc1
3.094079633,c1cc(CSSCc2ccncc2)ccn1
3.202856884,c1ccc(-c2nnc(-c3ccncc3)s2)cc1
2.564674096,c1ccc(-c2nncs2)cc1
3.2798053,Nc1nc(Cl)nc2c1ncn2C1CC(O)C(CO)O1
3.420899272,COc1ccc2c(c1)C(O)(CCCN(C)C)c1ccccc1S2
3.788861665,O=C(Cc1ccc(-c2ccccc2)cc1)OCCF
3.011845296,CCN(CC)CCOC(=O)c1cc(OC)c(OC)c(OC)c1
2.352653231,COc1cc(NC(C)=O)cc(OC)c1OC
4.68372768,c1ccc2c[n+](CCCCCCCCCCCCCCCC[n+]3ccc4ccccc4c3)ccc2c1
2.43429124,CN1Cc2c(ccc3c2OCO3)C2C(O)Cc3cc4c(cc3C21)OCO4
2.515791082,CCCCCC(=O)NO
2.942614091,C=[N+](C)O.CC=C1c2ccccc2CCc2ccccc21
2.620800206,Cc1ccccc1OCC(C)O
3.33898211,Nc1ccc(N)nc1
2.736922119,Nc1cncc(N)c1
3.213122637,Nc1ccc(N)c(N)n1
3.269010244,CC(CC(O)(c1ccccc1)c1ccccc1)N(C)C
2.506490183,COP(O)(=S)Oc1ccc([N+](=O)[O-])c(C)c1
3.560248876,O=c1oc2ccccc2c(O)c1C(c1ccccc1Cl)c1c(O)c2ccccc2oc1=O
3.4514969,O=c1oc2ccccc2c(O)c1C(c1ccc(Cl)cc1)c1c(O)c2ccccc2oc1=O
3.614505125,O=C(CI)Nc1ccc(C(=O)O)c(O)c1
3.462517833,Oc1ccc(C(O)CNCCCCCCNCC(O)c2ccc(O)c(O)c2)cc1O
2.68015263,Cc1cc(C)nc(NC(=O)Nc2ccc([N+](=O)[O-])cc2)n1
2.239329819,Cc1cc(C)nc(NC(=N)Nc2ccc([N+](=O)[O-])cc2)n1
2.461274869,Cc1cc(=O)nc(NC(=O)Nc2ccc([N+](=O)[O-])cc2)[nH]1
2.442448411,Nc1cn[nH]c1
3.482905726,O=C(C=Cc1ccc([N+](=O)[O-])o1)c1ccccc1
3.298659529,O=C1C(Cc2ccc(O)cc2)NC(=S)N1c1ccccc1
3.181278129,COc1ccc(C(=O)C=Cc2occc2[N+](=O)[O-])cc1
2.650431734,O=C(O)C(O)(c1ccccc1)C1CCCCC1
2.413378666,COP1(=O)OC(C)=CC1(C)C
3.152942352,CCN(C(=S)N(CC)c1ccccc1)c1ccccc1
3.051367726,Oc1cc(O)cc(C=Cc2ccc(O)c(O)c2)c1
2.457098683,CN(C)N=Nc1nc[nH]c1C(N)=O
3.189508561,CCN(CC)CCN1C(=O)c2ccccc2Nc2ccccc21
2.226191165,CCCCCC1(C)OCCO1
2.675671309,N#CC1C(=O)NC(=O)C(C#N)C12CCCCC2
3.387257863,N=C(N)SCc1ccc([N+](=O)[O-])cc1
4.77508712,CCCCCC1(C)OCC(CO)O1
2.76980237,CC1(c2ccccc2)OCC(CO)O1
2.231569899,CCCC1(C)OCC(CO)O1
2.602622039,CC1(c2cccs2)OCC(CO)O1
2.474778443,Oc1ccc(C2CNC2)cc1
3.444066343,CCN1CC(c2ccccc2)C1
3.061331825,CCN(C(N)=S)c1cccc2ccccc12
7.601068125,NC1=NC(O)C2C3OC4(O)OC(C(O)C2(N1)C4O)C3(O)CO
2.610001287,Nc1c(S(=O)(=O)O)cc(NC2CCCCC2)c2c1C(=O)c1ccccc1C2=O
2.951116429,CCOC(=O)c1ccc(N=Nc2c(N)nc(N)nc2N(CC)CC)cc1
3.1405725,CC1N(CC(=O)c2ccccc2)CCCC1(C)c1cccc(O)c1
2.772307034,CSCCC1NC(=S)N(c2ccccc2)C1=O
3.133747654,CCCCCCCCCCCCCCCC(=O)OCc1cnc(C)c(OC(=O)CCCCCCCCCCCCCCC)c1COC(=O)CCCCCCCCCCCCCCC
3.329593855,COC(=O)C1=COC(C)C2CN3CCc4c([nH]c5ccccc45)C3CC12
2.697702685,NNC(=O)NC(=O)NN
3.064376863,CCCCC(CC)COC(=O)c1ccccc1C(=O)O
2.369910299,C#CC(C)(O)C1CC1
1.67904755,CC[Ge](=O)O
2.388160013,Cc1ccccc1C1(C)OCC(CO)O1
2.430454255,CCCC1(c2ccccc2)OCC(CO)O1
2.737388043,COc1ccc2[nH]c(C(=O)O)cc2c1
3.654531816,O=C(COc1ccc2ccccc2c1)OCCF
2.659568245,CCC1(CC)CSC(NC(C)=O)=NC1=O
2.573484291,CCC1(CC)CSC(=O)NC1=O
2.696018959,CC(=O)NC1=NC(=O)C(c2ccccc2)CS1
2.210018718,CC1OC(=O)Cc2ccccc21
2.349732676,O=C(O)CCCNCCC(=O)O
3.36122608,Cc1c(O)ccc(O)c1O
2.953862559,Cc1ccc(C(C)C)c(C(=O)O)c1O
3.158333255,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1
2.79885325,Cc1cccc(C)c1Nc1ncccc1C(=O)O
2.311951544,CCCCCC1C(=O)NC(=O)N(C2CCC(OC(C)=O)CC2)C1=O
1.797492211,CC(=O)OC1CCC(N2C(=O)NC(=O)C(C)C2=O)CC1
2.771812469,CN(C)c1nnc(-c2ccccc2)o1
3.15054538,O=C(Cc1ccccc1)OC(CCN1CCOCC1)c1ccccc1
2.216557339,CC(C)CCC1C(=O)NC(=O)N(C2CCC(O)CC2)C1=O
2.975932452,N=C(Cn1ccc2ccccc21)NO
3.590032761,CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O
2.986635038,Cc1cccc(-c2cccc(C)n2)n1
2.270415439,NC(=O)N1c2ccccc2Sc2ccccc21
2.330770803,O=c1ccc2cc3ccc(=O)oc3cc2o1
2.561046198,Nn1c(COc2ccc(Cl)cc2Cl)n[nH]c1=S
2.506366334,Nn1c(COc2ccc(Cl)cc2)n[nH]c1=S
3.123230777,O=C(C=Cc1ccccn1)OCCN1CCN(c2ccc(Cl)cc2)CC1
2.970949712,O=C(C=Cc1ccccn1)OCCN1CCN(c2ccc(F)cc2)CC1
3.118327883,O=C(C=Cc1cccnc1)OCCN1CCNCC1
3.08346555,O=C(C=Cc1cccnc1)OCCN1CCN(Cc2ccccc2)CC1
3.001795503,Cc1ccc(N2CCN(CCOC(=O)C=Cc3cccnc3)CC2)cc1
2.737879895,O=C(C=Cc1cccnc1)OCCN1CCN(c2ccc(Cl)cc2)CC1
2.854385464,O=C(C=Cc1ccncc1)OCCN1CCN(c2ccc(Cl)cc2)CC1
2.161822199,O=C(C=Cc1cccc2ccccc12)OCCN1CCN(c2ccc(Cl)cc2)CC1
3.449147088,O=C(C=Cc1ccnc2ccccc12)OCCN1CCN(c2ccc(Cl)cc2)CC1
2.214893197,O=C(C=Cc1ccco1)OCCN1CCN(c2ccc(Cl)cc2)CC1
2.254017213,O=C(C=Cc1cccs1)OCCN1CCN(c2ccc(Cl)cc2)CC1
2.28025747,O=C(C=Cc1c[nH]c2ccccc12)OCCN1CCN(c2ccc(Cl)cc2)CC1
2.295560745,CCCC(=O)Nc1c(C)n(C)n(-c2ccccc2)c1=O
2.151607017,CC(=O)c1c(O)cc(C)oc1=O
1.531836424,Nc1nn[nH]n1
2.491613924,CO[Si](CCCS)(OC)OC
2.326851791,Nc1ccccc1C(=O)Nc1ccccc1
2.597433988,Cc1ccc(C(CO)CO)cc1
2.501653543,O=c1c2ccccc2nc2n1CCCCC2
2.656966561,CC1CCOS(=O)O1
2.241002248,O=C(NO)c1ccncc1
3.09418844,O=C(O)C1=CC(=C(c2ccc(O)c(C(=O)O)c2)c2ccc(O)c(C(=O)O)c2)C=CC1=O
3.843961849,COC1C(OC(=O)c2ccc(C)[nH]2)C(O)C(Oc2ccc3c(O)c(NC(=O)c4c[nH]c(C(=O)Nc5c(O)c6ccc(OC7OC(C)(C)C(OC)C(OC(=O)c8ccc(C)[nH]8)C7O)c(C)c6oc5=O)c4C)c(=O)oc3c2C)OC1(C)C
2.894119763,Cc1ccc(C(=O)O)nc1
2.25828169,CC(C)COCCO
2.695186793,OC(CCN1CCOCC1)(c1ccccc1)c1ccccc1
2.744149872,CC1(CC(=O)O)Oc2ccccc2O1
2.409077776,Cc1nc2ccc(I)cc2c(=O)n1-c1ccccc1
3.097445313,CCN(CC)c1ccc(N=Nc2c(N)nc(N)nc2N)cc1
3.104934267,Nc1nc(N)c(N=Nc2ccc(N(CCCl)CCCl)cc2)c(N)n1
3.294355985,CCN(CCCl)c1ccc(N=Nc2c(N)nc(N)nc2N)cc1
2.443796724,Nn1c(COc2ccccc2)n[nH]c1=S
3.421000321,[C-]#[N+]C(=Cc1ccc(OC)cc1)C(=Cc1ccc(OC)cc1)[N+]#[C-]
3.198840809,CNCCCN1C(=O)c2ccccc2Nc2ccccc21
2.587950303,CC(=O)NNC(C)C
3.065658722,CN(C)CCCN1C(=O)CN=C(c2ccccn2)c2cc(Br)ccc21
3.461082054,CN1CCN(CCC=C2c3ccccc3CCc3ccccc32)CC1
2.438911968,COc1ccccc1C(=O)NCC(=O)N(C)C
2.719710005,Cc1ccccc1C(=O)NCC(=O)N(C)C
2.079658317,CN(C)C(=O)CNC(=O)c1ccccc1O
2.900880331,CC(=O)C(C#N)c1ccccc1
3.651206578,CCC(O)C#N
2.122075383,O=C(C=Cc1ccccc1)OCCN1CCN(c2ccc(Cl)cc2)CC1
2.441447121,O=C(C=Cc1ccccc1O)OCCN1CCN(c2ccc(Cl)cc2)CC1
3.021129025,COc1ccc(N2CCN(CCOC(=O)C=Cc3cccnc3)CC2)cc1
2.059110924,CN(C)C(=O)CNC(=O)c1ccccc1
3.276487654,CC(Cc1ccccc1)NO
2.617532917,O=C1c2ccccc2C(=O)N1CCS
5.935843247,CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)CC(OC(C)=O)(C5C6OC(=O)c5ccccc5)C(C(OC)C23)C14
3.438038499,O=CC(NC(=O)CF)C(O)C(O)C(O)CO
2.263862164,ON=C1C2CC3CC(C2)CC1C3
3.441764938,CC[n+]1ccc2c(O)cccc2c1
2.393364585,Cc1ccc(OCC(C)(CO)CO)cc1
1.387247411,O=S1(=O)CC2OC2C1
3.280343875,c1ccc(-c2[nH]c3ccccc3c2CCN2CCCCCC2)cc1
2.401599469,COc1ccc2[nH]c3c(c2c1)CCN=C3c1ccncc1
3.15166888,CCN1CCc2c(O)cccc2C1
3.171940477,CCN1CCc2c(cccc2OC(=O)c2cc(OC)c(OC)c(OC)c2)C1
2.857530732,CCN1CCC2C(O)CCCC2C1
3.679268006,CCN1CCC2C(CCCC2OC(=O)c2cc(OC)c(OC)c(OC)c2)C1
2.891592381,O=NN1CCCCC1C(=O)O
1.973341039,C=CSCC[Si](CCC)(CCC)CCC
3.564016171,C[N+](C)(C)Cc1ccccc1
2.581179205,CCCN(CCC)CCO
3.368929415,CCCN(CCC)CCCl
1.982529665,CCNCCCl
2.531089833,CCN(C)CCCl
1.609159669,CNCCCl
3.245470691,O=C(OCCN1CCOCC1)C(O)(c1ccccc1)c1ccccc1
3.512428226,O=C(OCCN1CCCC1)C(O)(c1ccccc1)c1ccccc1
3.360584147,O=C(OCCN1CCCCC1)C(O)(c1ccccc1)c1ccccc1
2.283625321,O=C(C=Cc1ccc([N+](=O)[O-])o1)c1ccc([N+](=O)[O-])cc1
2.316415658,Cc1nc2ccc(Br)cc2c(=O)n1-c1ccccc1
4.103161494,CC1CC(=O)C(O)C2(C)C1CC1OC(=O)CC3C(C)C(O)C4(O)COC13C42
3.476341721,CCN(CC)CCn1cc(C2CCCN2C)c2ccccc21
5.685850557,Cc1ccc2c(c1O)NC(O)C1CC(C=CC(N)=O)=CN1C2=O
2.565918622,CN1C(=O)CSC1=S
3.628520192,CCCC[Sn](CCCC)(CCCC)S[Sn](CCCC)(CCCC)CCCC
3.636415366,CN(C)CCCN1Cc2ccccc2Nc2ccccc21
3.03657567,NNC=CC(=O)c1ccncc1
2.274949772,O=C(NN=C(c1ccccc1)c1ccccc1)c1ccncc1
2.922291985,O=C(CS)Nc1ccccc1
4.197615732,CCOP(=S)(OCC)Oc1cc(Cl)c(Br)cc1Cl
2.18883117,O=C1CCCCCCC1Cl
2.071943344,C1CSCS1
3.71661324,CC[N+](C)(CC)CCN1c2ccccc2C(=O)N(C)c2ccccc21
3.170906809,CCCCCCNC(=N)N=C(N)N
3.140420044,CCCCNC(=O)c1ccc(NC(=N)N=C(N)N)cc1
3.624101859,CCCCN(CCCC)C(=O)c1ccc(NC(=N)N=C(N)N)cc1
2.693218006,COc1ccc(NC(=N)N=C(N)N)cc1
2.960894545,OC1=CN=NC1
3.928917921,O=[N+]([O-])c1ccc2[nH]c(=S)sc2c1
3.094314793,CCCC[Ge](Cl)(Cl)Cl
2.992718427,OC1=c2ccccc2=C/C1=C/c1cccnc1
3.322348336,O=C(c1ccccc1)C(CN1CCCC1)c1ccccc1
3.045688981,CCC12CCCN3CCc4c(n(c5ccccc45)C(=O)C1)C32
2.225871174,CCC12C=C(C(=O)OC)n3c4c(c5ccccc53)CCN(CCC1)C42
3.526899879,COC(=O)c1ccccc1S
2.768968892,Cn1cnc(Cl)c1[N+](=O)[O-]
3.378515905,Oc1cc(Cl)c(Cl)c(Cl)c1Cl
3.335417779,CN(C)CCC=C1c2ccccc2Sc2ccccc21
2.153509989,CCSNC(=O)CC(N)C(=O)O
2.357120214,CCc1cc(C#N)cc(CC)c1O
3.251100189,CC(Cc1ccccc1)NN(C)C
3.070722957,CC(C)c1cc(CN(C)C)cc(C(C)C)c1O
2.362033553,COc1ccc([N+](=O)[O-])cc1Cl
3.709829433,O=C(NC(=S)Nc1ccccc1)c1ccccc1
3.162527069,O=C(NC(=S)Nc1ccc(Cl)cc1)c1ccccc1
3.486274587,O=C(NC(=S)Nc1cccc2ccccc12)c1ccccc1
3.185244591,O=C(NC(=S)Nc1ccc2ccccc2c1)c1ccccc1
2.605817783,Nc1nnc(-c2ccccc2)[nH]1
2.892475835,CC1=C(C(=O)O)C(C(=O)O)C1
3.643375117,CCOc1ccc(Sc2nc3ccccc3n2CCN(CC)CC)cc1
3.658837837,CCN(CC)CCn1c(Sc2ccc(N(CC)CC)cc2)nc2ccccc21
3.883449377,CCNc1ccc(Sc2nc3ccccc3n2CCN(CC)CC)cc1
1.818662141,NC(=O)CN1C(=O)c2ccccc2C1=O
5.515608949,CC[N+](C)(CC)CCSP(=O)(SC)SC
4.369689582,CC[N+](C)(CC)CCSP(=S)(SC)SC
3.009309224,CN(C)c1ccc(S)cc1
3.431937619,Cc1ccccc1NC(=S)NC(=O)c1ccccc1
2.622044003,O=C(CN1C(=O)c2ccccc2C1=O)Nc1ccc(Cl)cc1C(=O)c1ccccc1
1.615571212,O=C(O)c1cc(O)ccc1O
2.035019328,O=c1[nH]nc(Br)c(=O)[nH]1
2.24904541,CN(C)c1n[nH]c(=O)[nH]c1=O
2.219274516,O=c1[nH]nc(SCc2ccccc2)c(=O)[nH]1
2.140305437,CCCCCCSc1n[nH]c(=O)[nH]c1=O
2.504759518,O=c1[nH]nc(Sc2ccccc2)c(=O)[nH]1
2.407202486,O=c1[nH]nc(N2CCOCC2)c(=O)[nH]1
2.680149194,CCC(=O)OC1(c2ccccc2)CC[N+](C)([O-])CC1
2.638824236,C=[N+](O)CCC(C)(C(=O)OCC)c1ccccc1
2.738034122,CN(Cc1ccc(Cl)cc1Cl)S(N)(=O)=O
2.411087013,CCCCSc1n[nH]c(=O)[nH]c1=O
3.392066027,O=C(O)c1ccccc1Nc1ccc(S(=O)(=O)C(F)(F)F)cc1
6.86673412,C[N+]1(C)CCOC(O)(c2ccc(C3(O)C[N+](C)(C)CCO3)cc2)C1
3.500451907,CN(C)CCON=C1c2ccccc2CCc2ccccc21
3.232714956,NC(=S)Nc1ccc(N=Nc2ccccc2)cc1
3.373502316,NN1C(=O)C(=Cc2ccccc2)SC1=S
3.113180998,O=C1C(=Cc2ccccc2)SC(=S)N1N=Cc1ccccc1
2.617663802,NCCC1C(=O)Nc2ccccc21
4.752029231,O=P(Cl)(Cl)N(CCF)CCF
4.384613232,O=P(Cl)(Cl)N(CCF)CCCl
2.397329145,CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1
3.102477764,NCCCBr
3.431093868,C1CCC(CN2CCCC2)CC1
3.481814873,C1CCC(CN2CCCCC2)CC1
3.445715376,C1CCC(CN2CCCCCC2)CC1
2.351407818,O=C(O)c1cc(=O)c2cc(Cl)ccc2o1
2.103224846,CC(=O)NC1(C#N)CCCC1
3.400237419,CCN(CC)CCOc1ccccc1C(=O)OC
3.058078146,CCN(CC)CCOc1ccc(Cl)cc1C(=O)OC
3.135221728,CCN(CC)CCOc1c(C(=O)OC)cc([N+](=O)[O-])cc1[N+](=O)[O-]
3.816140505,CCN(CC)CCOc1c(C(=O)OC)cccc1-c1ccccc1
3.194579828,CCN(CC)CCOc1ccc(Br)cc1C(=O)Nc1ccccc1
3.602882622,Cn1c(=O)[nH]c2nncnc2c1=O
2.693797274,CC(CN(C)C)OC(=O)COc1ccc(Cl)cc1
1.996803439,CCOC(=O)NCO
3.584932487,CN1CCN(c2ncccc2N)CC1
2.549486998,OC(c1nc2ccccc2[nH]1)c1ccccc1Cl
3.404209687,OC(c1ccc(Cl)cc1)c1nc2ccccc2[nH]1
3.34849373,O=C(O)CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
2.294884887,COc1cc(C=NO)cc(OC)c1O
3.667222744,NC(=O)c1[nH]cnc1/N=N/N(CCCl)CCCl
3.585137634,CCCCN(CCCC)CC(O)Cn1cnc2c1c(=O)n(C)c(=O)n2C
2.989609307,NC1CC1OC1CCCCC1
3.211509307,CC(C(=O)OCCN1CCN(CCOC(=O)C(C)c2cccc3ccccc23)CC1)c1cccc2ccccc12
2.904879024,O=C1NCC2(CCN(CCOc3ccccc3)CC2)O1
2.598670678,CCOc1ccc(NC(=O)CN2CCC3(CC2)CNC(=O)O3)cc1
3.05380806,O=C1NCC2(CCN(CCc3ccccc3)CC2)O1
3.331117156,CC(Cc1ccccc1)N1CCC2(CC1)CNC(=O)O2
2.887691361,O=C1NCC2(CCN(Cc3ccccc3)CC2)O1
2.581198632,N=NC(O)C(=O)c1c[nH]c2ccccc12
2.893291372,CCC(N)(CN)c1ccccc1
3.251100189,CCCC(N)(CN)c1ccccc1
2.677424438,NCC1(N)CCCC1
2.755769867,NCC1(N)CCCCC1
3.006912027,NCC1(N)CCCCCC1
2.656812244,O=C(O)CN(CC(=O)O)CC(=O)O
3.540814428,CCN1CC2(COC)CCC(OC)C34C5CC6C(OC)CC(O)(C5C6O)C(C(OC)C23)C14
1.755335688,CC1OC1(C)C
3.282784607,CCOP(=O)(OCC)Oc1ccc(Cl)cc1
3.744788685,c1ccc(C2CN3CCSC3=N2)cc1
3.672165741,Cc1sc2ccccc2c1CC1=NCCN1
2.803012058,CC(C)C1CCC2(C)CCCC(=O)C2(C)C1
2.669043384,COC(=O)C1(C)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(=C(C)C)C5CCC43C)C2C1
3.034644497,CCN(CC)CCOc1ccc(Cl)cc1C(N)=O
3.008829377,CC(=O)c1ccc[n+](Cc2ccccc2)c1
2.840358688,NC(=O)c1ccc[n+](Cc2ccccc2)c1
2.727050204,CCN(CC)CC(O)Cn1cnc2c1c(=O)n(C)c(=O)n2C
2.984107925,CCCN(CCC)CC(O)Cn1cnc2c1c(=O)n(C)c(=O)n2C
2.864943778,C=CCN(CC=C)CC(O)Cn1cnc2c1c(=O)n(C)c(=O)n2C
3.205637359,Cn1c(=O)c2c(ncn2CC(O)CN(Cc2ccccc2)Cc2ccccc2)n(C)c1=O
3.697412092,COc1ccc2cc1Oc1ccc(cc1)CC1c3cc(OC)c(cc3CCN1C)Oc1c(OC)c(OC)cc3c1C(C2)N(C)CC3
2.603280783,C[N+](C)(C)CCOC(=O)c1cccnc1
2.807846375,NC(=O)N1CCC2(c3ccccc3)CC1Cc1ccc(O)cc12
3.15446455,C[N+](C)(C)CCI
1.832919063,COCc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O
4.253156203,CCN(CC)C(N)=[Se]
3.9402637,CC1=C(CO)C(=O)OC(C(C)C2CCC3C4CC5OC56C(O)C=CC(=O)C6(C)C4CCC23C)C1
4.012281985,O=C(CBr)C12CC3CC(CC(C3)C1)C2
2.709795546,CC(C)[n+]1cc(N)on1
2.301468412,C[n+]1cc(N)on1
2.951044497,CCOP(=S)(OCC)N1C(=O)c2ccccc2C1=O
2.958099196,Cc1ccc(CNC(=N)N=C(N)N)o1
3.861932481,CCn1cc(C(O)CNC)c2ccccc21
4.245431583,CC(C)n1cc(C(O)CN(C)C)c2ccccc21
3.242248044,CCn1cc(C(O)CN(C)C)c2ccccc21
2.584548883,Cn1c(=O)c2c(ncn2CC(O)CN2CCCC2)n(C)c1=O
2.161372032,Cn1c(=O)c2c(ncn2CC(O)CN2CCOCC2)n(C)c1=O
2.531992084,NCCc1ccccc1O
5.048175688,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC
3.297607332,COc1cc2c(cc1O)C(=O)c1nccc3cc(OC)c(OC)c-2c13
2.726485608,Cn1cnc(N)c2ncnc1-2
3.57032906,c1ccc2c(CC3=NCCN3)cccc2c1
2.85332208,N=C(N=C(N)N)NCc1ccco1
3.134653283,CCCCCC1C(=O)N(c2ccccc2)C(=O)N(c2ccccc2)C1=O
2.292303213,OCC(O)CSc1ccccc1
3.26759877,N#CCC(=O)c1cc2ccccc2o1
5.930445394,COc1ccc2cc1Oc1cc3c(cc1OC)CC[N+](C)(C)C3Cc1ccc(cc1)Oc1c(OC)c(OC)cc3c1C(C2)[N+](C)(C)CC3
2.574190937,O=C1C(c2ccccc2)C(=O)N(c2ccccc2)C(=O)N1c1ccccc1
2.971682833,CN1CCCC(=C(c2cccs2)c2cccs2)C1
2.737859053,CN(C)CCOC(=O)N1CC2(CCCCCC2)OC1=O
2.591647729,CC(C)NCCc1ccc(O)c(O)c1
2.431495641,O=C1c2ccccc2C(=O)N1OCCBr
5.817405906,C[N+](C)(C)CCNS(=O)(=O)c1ccc(-c2ccc(S(=O)(=O)NCC[N+](C)(C)C)cc2)cc1
2.462102081,O=[As](O)(O)c1ccc(N(CCO)CCO)cc1
4.590155209,O=[As](O)(O)c1ccc(N(CCCl)CCCl)cc1
5.154917599,CN(CCCl)c1ccc([As](=O)(O)O)cc1
4.585042796,CCN(CC)c1ccc([As](=O)(O)O)cc1
4.408498881,ClCCN(CCCl)c1ccc([As]2SCCS2)cc1
4.294657703,CCN(CC)c1ccc([As]2SCCS2)cc1
4.552793006,O=[As]c1ccc(N(CCO)CCO)cc1
3.561287271,Oc1c(CN2CCCC2)cc(Nc2ccnc3cc(Cl)ccc23)cc1CN1CCCC1
2.950962255,Cc1nc([N+](=O)[O-])[nH]c1C
2.789436158,CN(C)c1cnccn1
3.889039365,CC(=O)C(C#N)c1ccc(Cl)cc1
2.425860145,O=c1c2c([nH]c3ccccc13)CCCCC2
3.313455922,O=C(NCCCN1CCOCC1)C(Oc1ccccc1)Oc1ccccc1
2.724785185,C#CCN(C)Cc1ccccc1Cl
4.635226311,O=CC(Br)CBr
4.21797718,O=C(Nc1ccncc1)c1ccccc1
3.620989225,Nc1nc(=O)c2c([nH]c[n+]2[O-])[nH]1
2.575886897,O=C1NCC2(CCN(CC(O)Cc3ccccc3)CC2)O1
3.112299736,O=C1NCC2(CCN(CCc3ccc4c(c3)OCO4)CC2)O1
5.671195331,CC1CC(O)C2(O)C13CC(OC(=O)C3O)C(C)(O)C21COC1=O
3.377932466,CN(C)CCCOc1c2c(nc3ccccc13)CCCCC2
3.318699,CCN(CC)CCOc1c2c(nc3ccccc13)CCCCC2
3.696691229,CC(CN(C)C)Oc1c2c(nc3ccccc13)CCCCC2
3.406673684,CN(C)CCOc1c2c(nc3ccc(Cl)cc13)CCCCC2
3.522281179,CC(CN(C)C)Oc1c2c(nc3cc(Cl)ccc13)CCCCC2
3.44298589,CCOC(=O)C(C#N)=C(c1ccccc1)c1ccccc1
2.771349815,CC(=O)Nc1ccccc1C(C)=O
2.749919967,NNCCc1ccncc1
2.585948332,CNc1nc(C)nc(OC)n1
2.658552734,CCNc1nc(C)nc(OCC)n1
2.720740042,CCCCOc1nc(C)nc(NCC)n1
2.853319408,COc1nc(C)nc(N2CCN(c3ccccc3)CC2)n1
2.623766,CCc1nc(NC)nc(OC)n1
2.561642721,CCNc1nc(CC)nc(OC)n1
2.720740042,CCc1nc(OC)nc(N(CC)CC)n1
2.748699573,CCc1nc(OC)nc(N2CCOCC2)n1
2.690758526,CCc1nc(NC(C)C)nc(OC)n1
2.690758526,CCCc1nc(NCC)nc(OC)n1
3.005705897,CCNc1nc(CCl)nc(OC)n1
2.858681537,CCNc1nc(CCl)nc(OCC)n1
2.748784772,CCCc1nc(OC)nc(N(CC)CC)n1
